scheduler,runs,min,max,avg
fifo,10,44,44,44.00
random,10,40,47,43.60
delay-node,10,46,46,46.00
delay-commit,10,44,44,44.00
delay-vote,10,39,39,39.00
delay-proposal,10,35,35,35.00
bounded-delay,10,44,44,44.00
probabilistic-delay,10,44,46,45.00
quorum-block,10,47,47,47.00
scheduler,protocol,messages_sent,messages_delivered,timeouts,view_changes,stale_ignored,decisions
fifo,timeout,24,20,4,4,4,4
timeout-first,timeout,28,24,7,4,7,4
delay-leader,timeout,28,20,4,4,3,4

scheduler,protocol,timeout_threshold,messages_sent,messages_delivered,stale_messages_ignored,timeouts_triggered,view_changes,decisions
fifo,timeout,0,28,20,3,4,4,4
fifo,timeout,5,24,16,0,0,0,4
fifo,timeout,20,20,16,0,0,0,4
delay-leader,timeout,0,32,21,3,4,4,4
delay-leader,timeout,5,36,22,3,4,4,4
delay-leader,timeout,20,20,16,0,0,0,4
timeout-first,timeout,0,32,24,6,4,4,4
timeout-first,timeout,5,28,20,3,4,4,4
timeout-first,timeout,20,20,16,0,0,0,4

scheduler,K,T_step,scheduler_steps,timeouts,view_changes,decisions,stale_messages_ignored,messages_sent,messages_delivered
bounded-delay-leader,2,6,36,4,4,4,5,36,24
bounded-delay-leader,2,8,28,4,4,4,3,28,20
bounded-delay-leader,2,10,28,4,4,4,3,28,20
bounded-delay-leader,2,12,24,0,0,4,0,24,16
bounded-delay-leader,2,16,24,0,0,4,0,24,16
bounded-delay-leader,2,20,24,0,0,4,0,24,16
bounded-delay-leader,5,8,44,4,4,4,3,28,20
bounded-delay-leader,5,12,48,4,4,4,7,28,24
bounded-delay-leader,5,16,48,4,4,4,7,28,24
bounded-delay-leader,5,20,40,4,4,4,3,28,20
bounded-delay-leader,5,24,36,0,0,4,0,24,16
bounded-delay-leader,5,32,36,0,0,4,0,24,16
