scheduler,seed,k,steps,timeouts,decisions,retries,max_ballot
interleaved-progress-targeted-budget-delay,123,0,21,0,1,0,0
interleaved-progress-targeted-budget-delay,123,10,31,0,1,0,0
interleaved-progress-targeted-budget-delay,123,20,71,2,1,2,3
interleaved-progress-targeted-budget-delay,123,40,131,6,1,6,7
interleaved-progress-targeted-budget-delay,123,5,26,0,1,0,0
interleaved-progress-targeted-budget-delay,123,80,251,14,1,14,15
interleaved-progress-targeted-budget-delay,42,0,21,0,1,0,0
interleaved-progress-targeted-budget-delay,42,10,31,0,1,0,0
interleaved-progress-targeted-budget-delay,42,20,71,2,1,2,3
interleaved-progress-targeted-budget-delay,42,40,131,6,1,6,7
interleaved-progress-targeted-budget-delay,42,5,26,0,1,0,0
interleaved-progress-targeted-budget-delay,42,80,251,14,1,14,15
interleaved-progress-targeted-budget-delay,77,0,21,0,1,0,0
interleaved-progress-targeted-budget-delay,77,10,31,0,1,0,0
interleaved-progress-targeted-budget-delay,77,20,71,2,1,2,3
interleaved-progress-targeted-budget-delay,77,40,131,6,1,6,7
interleaved-progress-targeted-budget-delay,77,5,26,0,1,0,0
interleaved-progress-targeted-budget-delay,77,80,251,14,1,14,15
interleaved-progress-targeted-budget-delay,999,0,21,0,1,0,0
interleaved-progress-targeted-budget-delay,999,10,31,0,1,0,0
interleaved-progress-targeted-budget-delay,999,20,71,2,1,2,3
interleaved-progress-targeted-budget-delay,999,40,131,6,1,6,7
interleaved-progress-targeted-budget-delay,999,5,26,0,1,0,0
interleaved-progress-targeted-budget-delay,999,80,251,14,1,14,15
interleaved-targeted-budget-delay,123,0,21,0,1,0,0
interleaved-targeted-budget-delay,123,10,31,0,1,0,0
interleaved-targeted-budget-delay,123,20,71,2,1,2,3
interleaved-targeted-budget-delay,123,40,131,6,1,6,7
interleaved-targeted-budget-delay,123,5,26,0,1,0,0
interleaved-targeted-budget-delay,123,80,251,14,1,14,15
interleaved-targeted-budget-delay,42,0,21,0,1,0,0
interleaved-targeted-budget-delay,42,10,31,0,1,0,0
interleaved-targeted-budget-delay,42,20,71,2,1,2,3
interleaved-targeted-budget-delay,42,40,131,6,1,6,7
interleaved-targeted-budget-delay,42,5,26,0,1,0,0
interleaved-targeted-budget-delay,42,80,251,14,1,14,15
interleaved-targeted-budget-delay,77,0,21,0,1,0,0
interleaved-targeted-budget-delay,77,10,31,0,1,0,0
interleaved-targeted-budget-delay,77,20,71,2,1,2,3
interleaved-targeted-budget-delay,77,40,131,6,1,6,7
interleaved-targeted-budget-delay,77,5,26,0,1,0,0
interleaved-targeted-budget-delay,77,80,251,14,1,14,15
interleaved-targeted-budget-delay,999,0,21,0,1,0,0
interleaved-targeted-budget-delay,999,10,31,0,1,0,0
interleaved-targeted-budget-delay,999,20,71,2,1,2,3
interleaved-targeted-budget-delay,999,40,131,6,1,6,7
interleaved-targeted-budget-delay,999,5,26,0,1,0,0
interleaved-targeted-budget-delay,999,80,251,14,1,14,15
interleaved-uniform-budget-delay,123,0,21,0,1,0,0
interleaved-uniform-budget-delay,123,10,31,0,1,0,0
interleaved-uniform-budget-delay,123,20,81,3,1,3,4
interleaved-uniform-budget-delay,123,40,131,6,1,6,7
interleaved-uniform-budget-delay,123,5,26,0,1,0,0
interleaved-uniform-budget-delay,123,80,261,15,1,15,16
interleaved-uniform-budget-delay,42,0,21,0,1,0,0
interleaved-uniform-budget-delay,42,10,31,0,1,0,0
interleaved-uniform-budget-delay,42,20,71,2,1,2,3
interleaved-uniform-budget-delay,42,40,131,6,1,6,7
interleaved-uniform-budget-delay,42,5,26,0,1,0,0
interleaved-uniform-budget-delay,42,80,261,15,1,15,16
interleaved-uniform-budget-delay,77,0,21,0,1,0,0
interleaved-uniform-budget-delay,77,10,31,0,1,0,0
interleaved-uniform-budget-delay,77,20,71,2,1,2,3
interleaved-uniform-budget-delay,77,40,131,6,1,6,7
interleaved-uniform-budget-delay,77,5,26,0,1,0,0
interleaved-uniform-budget-delay,77,80,261,15,1,15,16
interleaved-uniform-budget-delay,999,0,21,0,1,0,0
interleaved-uniform-budget-delay,999,10,31,0,1,0,0
interleaved-uniform-budget-delay,999,20,81,3,1,3,4
interleaved-uniform-budget-delay,999,40,141,7,1,7,8
interleaved-uniform-budget-delay,999,5,26,0,1,0,0
interleaved-uniform-budget-delay,999,80,251,14,1,14,15
