scheduler,K,seed,n,quorum,surplus,T,steps,timeouts,decisions,retries,max_ballot,reached_step_cap,safety
uniform-budget-delay,20,1,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,2,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,3,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,4,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,5,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,6,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,7,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,8,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,9,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,10,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,11,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,12,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,13,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,14,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,15,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,16,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,17,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,18,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,19,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,20,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,21,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,22,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,23,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,24,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,25,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,26,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,27,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,28,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,29,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,30,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,31,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,32,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,33,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,34,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,35,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,20,36,25,13,12,100,121,0,1,0,0,false,false
