scheduler,p,k,steps,timeouts,decisions,retries,max_ballot
prob-interleaved-uniform-budget-delay,0.2,40,57,1,1,1,2
prob-interleaved-uniform-budget-delay,0.3,40,100,3,1,3,4
prob-interleaved-uniform-budget-delay,0.35,40,27,0,1,0,0
prob-interleaved-uniform-budget-delay,0.4,40,131,7,1,7,8
prob-interleaved-uniform-budget-delay,0.45,40,131,7,1,7,8
prob-interleaved-uniform-budget-delay,0.5,40,131,6,1,6,7
prob-interleaved-targeted-budget-delay,0.2,40,24,0,1,0,0
prob-interleaved-targeted-budget-delay,0.3,40,30,0,1,0,0
prob-interleaved-targeted-budget-delay,0.35,40,22,0,1,0,0
prob-interleaved-targeted-budget-delay,0.4,40,28,0,1,0,0
prob-interleaved-targeted-budget-delay,0.45,40,29,0,1,0,0
prob-interleaved-targeted-budget-delay,0.5,40,141,7,1,7,8
