scheduler,n,quorum,surplus,seed,k,T,steps,timeouts,decisions,retries,max_ballot,reached_step_cap,safety
uniform-budget-delay,5,3,2,1,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,2,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,3,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,4,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,5,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,6,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,7,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,8,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,9,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,10,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,11,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,12,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,13,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,14,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,15,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,16,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,17,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,18,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,19,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,20,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,21,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,22,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,23,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,24,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,25,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,26,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,27,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,28,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,29,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,30,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,31,15,20,46,1,1,1,2,false,false
