scheduler,n,quorum,surplus,seed,k,p,T,steps,timeouts,decisions,retries,max_ballot,reached_step_cap,safety
prob-interleaved-uniform-budget-delay,25,13,12,1,120,0.2,100,129,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,2,120,0.2,100,125,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,3,120,0.2,100,120,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,4,120,0.2,100,123,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,5,120,0.2,100,126,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,6,120,0.2,100,138,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,7,120,0.2,100,136,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,8,120,0.2,100,116,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,9,120,0.2,100,128,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,10,120,0.2,100,129,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,11,120,0.2,100,123,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,12,120,0.2,100,126,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,13,120,0.2,100,120,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,14,120,0.2,100,126,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,15,120,0.2,100,132,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,16,120,0.2,100,123,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,17,120,0.2,100,127,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,18,120,0.2,100,123,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,19,120,0.2,100,132,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,20,120,0.2,100,127,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,21,120,0.2,100,127,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,22,120,0.2,100,119,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,23,120,0.2,100,133,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,24,120,0.2,100,127,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,25,120,0.2,100,131,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,26,120,0.2,100,124,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,27,120,0.2,100,123,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,28,120,0.2,100,130,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,29,120,0.2,100,122,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,30,120,0.2,100,132,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,31,120,0.2,100,120,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,32,120,0.2,100,116,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,33,120,0.2,100,136,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,34,120,0.2,100,125,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,35,120,0.2,100,116,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,36,120,0.2,100,130,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,37,120,0.2,100,123,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,38,120,0.2,100,124,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,39,120,0.2,100,127,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,40,120,0.2,100,119,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,41,120,0.2,100,126,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,42,120,0.2,100,132,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,43,120,0.2,100,128,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,44,120,0.2,100,129,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,45,120,0.2,100,127,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,46,120,0.2,100,124,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,47,120,0.2,100,134,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,48,120,0.2,100,132,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,49,120,0.2,100,123,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,50,120,0.2,100,125,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,51,120,0.2,100,122,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,52,120,0.2,100,135,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,53,120,0.2,100,131,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,54,120,0.2,100,128,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,55,120,0.2,100,127,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,56,120,0.2,100,120,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,57,120,0.2,100,115,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,58,120,0.2,100,125,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,59,120,0.2,100,125,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,60,120,0.2,100,124,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,61,120,0.2,100,131,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,62,120,0.2,100,135,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,63,120,0.2,100,128,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,64,120,0.2,100,120,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,65,120,0.2,100,131,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,66,120,0.2,100,120,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,67,120,0.2,100,134,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,68,120,0.2,100,128,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,69,120,0.2,100,127,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,70,120,0.2,100,133,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,71,120,0.2,100,115,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,72,120,0.2,100,131,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,73,120,0.2,100,121,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,74,120,0.2,100,129,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,75,120,0.2,100,125,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,76,120,0.2,100,129,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,77,120,0.2,100,120,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,78,120,0.2,100,122,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,79,120,0.2,100,126,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,80,120,0.2,100,137,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,81,120,0.2,100,123,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,82,120,0.2,100,128,0,1,0,0,false,false
