scheduler,n,quorum,seed,k,steps,timeouts,decisions,retries,max_ballot
prob-interleaved-uniform-budget-delay,5,3,1,6,27,0,1,0,0
prob-interleaved-uniform-budget-delay,5,3,2,6,27,0,1,0,0
prob-interleaved-uniform-budget-delay,5,3,3,6,27,0,1,0,0
prob-interleaved-uniform-budget-delay,5,3,4,6,25,0,1,0,0
prob-interleaved-uniform-budget-delay,5,3,5,6,27,0,1,0,0
prob-interleaved-uniform-budget-delay,5,3,6,6,27,0,1,0,0
prob-interleaved-uniform-budget-delay,5,3,7,6,27,0,1,0,0
prob-interleaved-uniform-budget-delay,5,3,8,6,27,0,1,0,0
prob-interleaved-uniform-budget-delay,5,3,9,6,27,0,1,0,0
prob-interleaved-uniform-budget-delay,5,3,10,6,27,0,1,0,0
prob-interleaved-uniform-budget-delay,5,3,11,6,27,0,1,0,0
prob-interleaved-uniform-budget-delay,5,3,12,6,27,0,1,0,0
prob-interleaved-uniform-budget-delay,5,3,13,6,27,0,1,0,0
prob-interleaved-uniform-budget-delay,5,3,14,6,27,0,1,0,0
prob-interleaved-uniform-budget-delay,5,3,15,6,27,0,1,0,0
prob-interleaved-uniform-budget-delay,5,3,16,6,27,0,1,0,0
prob-interleaved-uniform-budget-delay,5,3,17,6,27,0,1,0,0
prob-interleaved-uniform-budget-delay,5,3,18,6,26,0,1,0,0
prob-interleaved-uniform-budget-delay,5,3,19,6,27,0,1,0,0
prob-interleaved-uniform-budget-delay,5,3,20,6,27,0,1,0,0
prob-interleaved-uniform-budget-delay,5,3,21,6,27,0,1,0,0
prob-interleaved-uniform-budget-delay,5,3,22,6,27,0,1,0,0
prob-interleaved-uniform-budget-delay,5,3,23,6,27,0,1,0,0
prob-interleaved-uniform-budget-delay,5,3,24,6,27,0,1,0,0
prob-interleaved-uniform-budget-delay,5,3,25,6,27,0,1,0,0
prob-interleaved-uniform-budget-delay,5,3,26,6,27,0,1,0,0
prob-interleaved-uniform-budget-delay,5,3,27,6,27,0,1,0,0
prob-interleaved-uniform-budget-delay,5,3,28,6,27,0,1,0,0
