scheduler,seed,k,messages_sent,scheduler_steps,paxos_retries,nack_messages,max_ballot_seen,safety_violation
fifo,0,0,20,20,0,0,0,false
random,1,0,20,20,0,0,0,false
random,2,0,20,20,0,0,0,false
random,3,0,20,20,0,0,0,false
random,4,0,20,20,0,0,0,false
random,5,0,40,40,1,1,2,false
random,6,0,20,20,0,0,0,false
random,7,0,20,20,0,0,0,false
random,8,0,40,40,1,1,2,false
random,9,0,70,70,3,5,4,false
random,10,0,20,20,0,0,0,false
random,11,0,40,40,1,1,2,false
random,12,0,20,20,0,0,0,false
random,13,0,20,20,0,0,0,false
random,14,0,20,20,0,0,0,false
random,15,0,40,40,1,1,2,false
random,16,0,20,20,0,0,0,false
random,17,0,20,20,0,0,0,false
random,18,0,20,20,0,0,0,false
random,19,0,40,40,1,1,2,false
random,20,0,80,80,3,5,4,false
random,21,0,20,20,0,0,0,false
random,22,0,20,20,0,0,0,false
random,23,0,20,20,0,0,0,false
random,24,0,20,20,0,0,0,false
random,25,0,20,20,0,0,0,false
random,26,0,20,20,0,0,0,false
random,27,0,20,20,0,0,0,false
random,28,0,20,20,0,0,0,false
random,29,0,20,20,0,0,0,false
random,30,0,20,20,0,0,0,false
random,31,0,20,20,0,0,0,false
random,32,0,90,90,4,4,5,false
random,33,0,40,40,1,1,2,false
random,34,0,20,20,0,0,0,false
random,35,0,40,40,1,2,2,false
random,36,0,20,20,0,0,0,false
random,37,0,40,40,1,1,2,false
random,38,0,20,20,0,0,0,false
random,39,0,150,150,8,11,9,false
random,40,0,20,20,0,0,0,false
random,41,0,20,20,0,0,0,false
random,42,0,20,20,0,0,0,false
random,43,0,20,20,0,0,0,false
random,44,0,40,40,1,1,2,false
random,45,0,20,20,0,0,0,false
random,46,0,20,20,0,0,0,false
random,47,0,20,20,0,0,0,false
random,48,0,20,20,0,0,0,false
random,49,0,100,100,5,5,6,false
random,50,0,60,60,2,4,3,false
random,51,0,20,20,0,0,0,false
random,52,0,20,20,0,0,0,false
random,53,0,40,40,1,1,2,false
random,54,0,20,20,0,0,0,false
random,55,0,20,20,0,0,0,false
random,56,0,20,20,0,0,0,false
random,57,0,20,20,0,0,0,false
random,58,0,40,40,1,1,2,false
random,59,0,40,40,1,1,2,false
random,60,0,40,40,1,1,2,false
random,61,0,20,20,0,0,0,false
random,62,0,20,20,0,0,0,false
random,63,0,20,20,0,0,0,false
random,64,0,20,20,0,0,0,false
random,65,0,20,20,0,0,0,false
random,66,0,20,20,0,0,0,false
random,67,0,20,20,0,0,0,false
random,68,0,40,40,1,2,2,false
random,69,0,20,20,0,0,0,false
random,70,0,20,20,0,0,0,false
random,71,0,20,20,0,0,0,false
random,72,0,20,20,0,0,0,false
random,73,0,20,20,0,0,0,false
random,74,0,20,20,0,0,0,false
random,75,0,20,20,0,0,0,false
random,76,0,20,20,0,0,0,false
random,77,0,40,40,1,1,2,false
random,78,0,20,20,0,0,0,false
random,79,0,120,120,5,10,6,false
random,80,0,20,20,0,0,0,false
random,81,0,130,130,6,13,7,false
random,82,0,20,20,0,0,0,false
random,83,0,80,80,3,5,4,false
random,84,0,20,20,0,0,0,false
random,85,0,20,20,0,0,0,false
random,86,0,40,40,1,1,2,false
random,87,0,40,40,1,1,2,false
random,88,0,90,90,5,6,6,false
random,89,0,20,20,0,0,0,false
random,90,0,40,40,1,1,2,false
random,91,0,20,20,0,0,0,false
random,92,0,20,20,0,0,0,false
random,93,0,20,20,0,0,0,false
random,94,0,20,20,0,0,0,false
random,95,0,40,40,1,1,2,false
random,96,0,20,20,0,0,0,false
random,97,0,60,60,2,2,3,false
random,98,0,20,20,0,0,0,false
random,99,0,20,20,0,0,0,false
random,100,0,20,20,0,0,0,false
random,101,0,20,20,0,0,0,false
random,102,0,60,60,2,2,3,false
random,103,0,90,90,4,10,5,false
random,104,0,20,20,0,0,0,false
random,105,0,20,20,0,0,0,false
random,106,0,130,130,6,11,7,false
random,107,0,20,20,0,0,0,false
random,108,0,20,20,0,0,0,false
random,109,0,20,20,0,0,0,false
random,110,0,20,20,0,0,0,false
random,111,0,20,20,0,0,0,false
random,112,0,20,20,0,0,0,false
random,113,0,20,20,0,0,0,false
random,114,0,20,20,0,0,0,false
random,115,0,40,40,1,1,2,false
random,116,0,20,20,0,0,0,false
random,117,0,20,20,0,0,0,false
random,118,0,20,20,0,0,0,false
random,119,0,20,20,0,0,0,false
random,120,0,20,20,0,0,0,false
random,121,0,20,20,0,0,0,false
random,122,0,20,20,0,0,0,false
random,123,0,20,20,0,0,0,false
random,124,0,20,20,0,0,0,false
random,125,0,40,40,1,1,2,false
random,126,0,20,20,0,0,0,false
random,127,0,20,20,0,0,0,false
random,128,0,40,40,1,1,2,false
random,129,0,20,20,0,0,0,false
random,130,0,20,20,0,0,0,false
random,131,0,20,20,0,0,0,false
random,132,0,20,20,0,0,0,false
random,133,0,40,40,1,1,2,false
random,134,0,20,20,0,0,0,false
random,135,0,40,40,1,1,2,false
random,136,0,20,20,0,0,0,false
random,137,0,40,40,1,1,2,false
random,138,0,20,20,0,0,0,false
random,139,0,20,20,0,0,0,false
random,140,0,40,40,1,1,2,false
random,141,0,20,20,0,0,0,false
random,142,0,20,20,0,0,0,false
random,143,0,20,20,0,0,0,false
random,144,0,60,60,2,2,3,false
random,145,0,80,80,3,4,4,false
random,146,0,20,20,0,0,0,false
random,147,0,20,20,0,0,0,false
