seed,messages_sent,scheduler_steps,paxos_retries,nack_messages,max_ballot_seen,safety_violation
1,20,20,0,0,0,false
2,20,20,0,0,0,false
3,20,20,0,0,0,false
4,20,20,0,0,0,false
5,40,40,1,1,2,false
6,20,20,0,0,0,false
7,20,20,0,0,0,false
8,40,40,1,1,2,false
9,70,70,3,5,4,false
10,20,20,0,0,0,false
11,40,40,1,1,2,false
12,20,20,0,0,0,false
13,20,20,0,0,0,false
14,20,20,0,0,0,false
15,40,40,1,1,2,false
16,20,20,0,0,0,false
17,20,20,0,0,0,false
18,20,20,0,0,0,false
19,40,40,1,1,2,false
20,80,80,3,5,4,false
21,20,20,0,0,0,false
22,20,20,0,0,0,false
23,20,20,0,0,0,false
24,20,20,0,0,0,false
25,20,20,0,0,0,false
26,20,20,0,0,0,false
27,20,20,0,0,0,false
28,20,20,0,0,0,false
29,20,20,0,0,0,false
30,20,20,0,0,0,false
31,20,20,0,0,0,false
32,90,90,4,4,5,false
33,40,40,1,1,2,false
34,20,20,0,0,0,false
35,40,40,1,2,2,false
36,20,20,0,0,0,false
37,40,40,1,1,2,false
38,20,20,0,0,0,false
39,150,150,8,11,9,false
40,20,20,0,0,0,false
41,20,20,0,0,0,false
42,20,20,0,0,0,false
43,20,20,0,0,0,false
44,40,40,1,1,2,false
45,20,20,0,0,0,false
46,20,20,0,0,0,false
47,20,20,0,0,0,false
48,20,20,0,0,0,false
49,100,100,5,5,6,false
50,60,60,2,4,3,false
