seed,messages_sent,scheduler_steps,paxos_retries,nack_messages,max_ballot_seen,safety_violation
1,162,164,10,14,11,false
2,22,24,1,0,2,false
3,72,74,4,4,5,false
4,82,84,5,6,6,false
5,82,84,6,6,7,false
6,62,64,3,2,4,false
7,42,44,2,1,3,false
8,152,154,9,12,10,false
9,62,64,3,2,4,false
10,252,254,16,24,17,false
11,252,254,17,21,18,false
12,112,114,7,14,8,false
13,62,64,4,3,5,false
14,42,44,2,2,3,false
15,182,184,11,16,12,false
16,62,64,3,2,4,false
17,112,114,7,9,8,false
18,82,84,4,4,5,false
19,22,24,1,0,2,false
20,112,114,7,9,8,false
21,22,24,1,0,2,false
22,22,24,1,0,2,false
23,52,54,3,2,4,false
24,202,204,11,18,12,false
25,132,134,7,9,8,false
26,32,34,2,1,3,false
27,152,154,9,16,10,false
28,112,114,7,12,8,false
29,62,64,3,4,4,false
30,42,44,2,1,3,false
31,42,44,2,1,3,false
32,42,44,2,1,3,false
33,112,114,7,10,8,false
34,72,74,4,5,5,false
35,72,74,5,6,6,false
36,72,74,4,4,5,false
37,62,64,4,5,5,false
38,102,104,5,4,6,false
39,92,94,5,6,6,false
40,252,254,18,24,19,false
41,82,84,4,5,5,false
42,162,164,9,11,10,false
43,82,84,5,6,6,false
44,42,44,2,3,3,false
45,72,74,4,4,5,false
46,52,54,3,2,4,false
47,32,34,2,1,3,false
48,192,194,11,24,12,false
49,62,64,3,2,4,false
50,142,144,8,11,9,false
51,192,194,11,18,12,false
52,82,84,4,6,5,false
53,52,54,3,2,4,false
54,102,104,7,12,8,false
55,22,24,1,0,2,false
56,22,24,1,0,2,false
57,162,164,9,15,10,false
58,82,84,4,3,5,false
59,42,44,2,1,3,false
60,92,94,6,7,7,false
61,82,84,5,7,6,false
62,92,94,5,6,6,false
63,42,44,2,1,3,false
64,52,54,3,3,4,false
65,102,104,5,5,6,false
66,82,84,4,6,5,false
67,52,54,3,3,4,false
68,62,64,3,3,4,false
69,22,24,1,0,2,false
70,82,84,4,3,5,false
71,22,24,1,0,2,false
72,112,114,6,11,7,false
73,132,134,7,10,8,false
74,62,64,3,3,4,false
75,122,124,7,9,8,false
76,192,194,12,17,13,false
77,42,44,2,3,3,false
78,42,44,2,2,3,false
79,42,44,2,2,3,false
80,132,134,8,16,9,false
81,82,84,4,5,5,false
82,22,24,1,0,2,false
83,22,24,1,0,2,false
84,232,234,13,19,14,false
85,22,24,1,0,2,false
86,22,24,1,0,2,false
87,172,174,10,15,11,false
88,122,124,7,7,8,false
89,52,54,3,2,4,false
90,102,104,7,8,8,false
91,22,24,1,0,2,false
92,32,34,2,1,3,false
93,52,54,3,4,4,false
94,22,24,1,0,2,false
95,112,114,7,11,8,false
96,82,84,5,5,6,false
97,122,124,7,10,8,false
98,42,44,3,2,4,false
99,32,34,2,2,3,false
100,92,94,7,11,8,false
101,92,94,5,5,6,false
102,42,44,2,1,3,false
103,202,204,12,17,13,false
104,52,54,4,4,5,false
105,22,24,1,0,2,false
106,72,74,4,5,5,false
107,252,254,14,21,15,false
108,72,74,4,4,5,false
109,192,194,10,16,11,false
110,152,154,9,13,10,false
111,42,44,2,1,3,false
112,52,54,3,3,4,false
113,62,64,4,4,5,false
114,52,54,3,3,4,false
115,122,124,7,13,8,false
116,122,124,6,5,7,false
117,52,54,3,4,4,false
118,32,34,2,1,3,false
119,62,64,3,3,4,false
120,42,44,2,1,3,false
121,22,24,1,0,2,false
122,132,134,7,7,8,false
123,22,24,1,0,2,false
124,172,174,10,15,11,false
125,42,44,2,1,3,false
126,32,34,2,1,3,false
127,182,184,11,16,12,false
128,122,124,7,9,8,false
129,72,74,4,6,5,false
130,92,94,5,6,6,false
131,22,24,1,0,2,false
132,52,54,3,2,4,false
133,132,134,8,12,9,false
134,42,44,2,3,3,false
135,52,54,3,3,4,false
136,52,54,3,5,4,false
137,42,44,3,3,4,false
138,142,144,8,12,9,false
139,82,84,5,5,6,false
140,162,164,10,12,11,false
141,42,44,2,1,3,false
142,52,54,4,3,5,false
143,42,44,2,2,3,false
144,62,64,3,4,4,false
145,72,74,4,10,5,false
146,42,44,2,2,3,false
147,112,114,7,7,8,false
148,22,24,1,0,2,false
149,132,134,7,11,8,false
150,52,54,3,4,4,false
151,42,44,2,2,3,false
152,92,94,5,5,6,false
153,42,44,2,2,3,false
154,22,24,1,0,2,false
155,82,84,4,3,5,false
156,72,74,4,4,5,false
157,62,64,4,5,5,false
158,212,214,12,26,13,false
159,82,84,6,9,7,false
160,62,64,3,2,4,false
161,72,74,5,6,6,false
162,52,54,3,2,4,false
163,92,94,5,5,6,false
