seed,messages_sent,scheduler_steps,paxos_retries,nack_messages,max_ballot_seen,safety_violation
1,162,164,10,13,11,false
2,22,24,1,0,2,false
3,52,54,3,2,4,false
4,82,84,5,5,6,false
5,82,84,6,6,7,false
6,22,24,1,0,2,false
7,22,24,1,0,2,false
8,52,54,3,3,4,false
9,62,64,3,2,4,false
10,252,254,16,24,17,false
11,22,24,1,0,2,false
12,112,114,7,12,8,false
13,62,64,4,3,5,false
14,42,44,2,1,3,false
15,102,104,6,8,7,false
16,42,44,2,1,3,false
17,72,74,5,7,6,false
18,42,44,2,1,3,false
19,22,24,1,0,2,false
20,62,64,4,4,5,false
21,22,24,1,0,2,false
22,22,24,1,0,2,false
23,32,34,2,1,3,false
24,52,54,3,6,4,false
25,32,34,2,2,3,false
26,32,34,2,1,3,false
27,132,134,8,14,9,false
28,112,114,7,12,8,false
29,62,64,3,3,4,false
30,42,44,2,1,3,false
31,22,24,1,0,2,false
32,22,24,1,0,2,false
33,72,74,5,7,6,false
34,52,54,3,4,4,false
35,72,74,5,6,6,false
36,72,74,4,4,5,false
37,62,64,4,4,5,false
38,22,24,1,0,2,false
39,72,74,4,5,5,false
40,172,174,13,16,14,false
41,42,44,2,1,3,false
42,102,104,6,7,7,false
43,82,84,5,6,6,false
44,42,44,2,2,3,false
45,52,54,3,3,4,false
46,32,34,2,1,3,false
47,32,34,2,1,3,false
48,192,194,11,21,12,false
49,22,24,1,0,2,false
50,62,64,4,3,5,false
51,72,74,4,6,5,false
52,82,84,4,5,5,false
53,52,54,3,2,4,false
54,102,104,7,11,8,false
55,22,24,1,0,2,false
56,22,24,1,0,2,false
57,122,124,7,13,8,false
58,42,44,2,1,3,false
59,22,24,1,0,2,false
60,92,94,6,7,7,false
61,82,84,5,6,6,false
62,62,64,3,3,4,false
63,42,44,2,1,3,false
64,52,54,3,2,4,false
65,22,24,1,0,2,false
66,62,64,3,4,4,false
67,52,54,3,3,4,false
68,42,44,2,2,3,false
69,22,24,1,0,2,false
70,42,44,2,1,3,false
71,22,24,1,0,2,false
72,72,74,4,8,5,false
73,132,134,7,9,8,false
74,42,44,2,2,3,false
75,122,124,7,8,8,false
76,192,194,12,15,13,false
77,42,44,2,2,3,false
78,42,44,2,1,3,false
79,42,44,2,1,3,false
80,132,134,8,15,9,false
81,22,24,1,0,2,false
82,22,24,1,0,2,false
83,22,24,1,0,2,false
84,72,74,5,5,6,false
85,22,24,1,0,2,false
86,22,24,1,0,2,false
87,52,54,3,3,4,false
88,122,124,7,7,8,false
89,52,54,3,2,4,false
90,82,84,6,6,7,false
91,22,24,1,0,2,false
92,32,34,2,1,3,false
93,52,54,3,2,4,false
94,22,24,1,0,2,false
95,42,44,2,1,3,false
96,82,84,5,5,6,false
97,102,104,6,9,7,false
98,42,44,3,2,4,false
99,32,34,2,2,3,false
100,92,94,7,11,8,false
101,32,34,2,1,3,false
102,22,24,1,0,2,false
103,82,84,5,8,6,false
104,52,54,4,4,5,false
105,22,24,1,0,2,false
106,52,54,3,3,4,false
107,92,94,5,6,6,false
108,72,74,4,4,5,false
109,92,94,5,8,6,false
110,132,134,8,10,9,false
111,42,44,2,1,3,false
112,252,254,18,25,19,false
113,42,44,3,2,4,false
114,52,54,3,3,4,false
115,122,124,7,13,8,false
116,22,24,1,0,2,false
117,52,54,3,4,4,false
118,32,34,2,1,3,false
119,42,44,2,2,3,false
120,22,24,1,0,2,false
121,22,24,1,0,2,false
122,52,54,3,2,4,false
123,22,24,1,0,2,false
124,152,154,9,14,10,false
125,42,44,2,1,3,false
126,32,34,2,1,3,false
127,72,74,4,5,5,false
128,122,124,7,8,8,false
129,52,54,3,4,4,false
130,72,74,4,4,5,false
131,22,24,1,0,2,false
132,52,54,3,2,4,false
133,132,134,8,11,9,false
134,42,44,2,2,3,false
135,52,54,3,3,4,false
136,52,54,3,5,4,false
137,42,44,3,3,4,false
138,142,144,8,12,9,false
139,32,34,2,2,3,false
140,42,44,3,2,4,false
141,42,44,2,1,3,false
142,52,54,4,3,5,false
143,42,44,2,1,3,false
144,62,64,3,3,4,false
145,72,74,4,10,5,false
146,42,44,2,2,3,false
147,112,114,7,7,8,false
148,22,24,1,0,2,false
149,132,134,7,11,8,false
150,52,54,3,4,4,false
151,42,44,2,2,3,false
152,52,54,3,2,4,false
153,42,44,2,1,3,false
154,22,24,1,0,2,false
155,42,44,2,1,3,false
156,72,74,4,4,5,false
157,62,64,4,5,5,false
158,212,214,12,24,13,false
159,62,64,5,7,6,false
160,42,44,2,1,3,false
161,72,74,5,6,6,false
162,32,34,2,1,3,false
163,32,34,2,1,3,false
164,22,24,1,0,2,false
165,62,64,3,3,4,false
166,22,24,1,0,2,false
167,22,24,1,0,2,false
168,32,34,2,1,3,false
169,72,74,4,3,5,false
170,32,34,2,1,3,false
171,42,44,2,1,3,false
172,42,44,2,1,3,false
173,82,84,6,8,7,false
174,72,74,4,4,5,false
175,62,64,4,5,5,false
176,72,74,4,7,5,false
177,52,54,3,3,4,false
178,142,144,8,10,9,false
179,52,54,3,3,4,false
180,42,44,2,2,3,false
181,62,64,4,3,5,false
182,22,24,1,0,2,false
183,52,54,4,5,5,false
184,52,54,3,3,4,false
185,52,54,3,3,4,false
186,42,44,2,1,3,false
187,82,84,4,5,5,false
188,42,44,2,2,3,false
189,32,34,2,2,3,false
