seed,max_concurrent_ballots
1,4
2,2
3,2
4,3
5,3
6,2
7,2
8,4
9,2
10,5
11,5
12,4
13,3
14,2
15,4
16,2
17,4
18,3
19,2
20,3
21,2
22,2
23,3
24,4
25,3
26,2
27,5
28,4
29,3
30,2
31,2
32,2
33,4
34,3
35,3
36,3
37,4
38,2
39,3
40,6
41,4
42,4
43,4
44,3
45,3
46,2
47,2
48,5
49,2
50,3
51,3
52,3
53,3
54,4
55,2
56,2
57,4
58,2
59,2
60,3
61,4
62,3
63,2
64,3
65,3
66,3
67,3
68,3
69,2
70,2
71,2
72,4
73,4
74,3
75,3
76,4
77,3
78,2
79,3
80,5
81,3
82,2
83,2
84,3
85,2
86,2
87,4
88,3
89,3
90,4
91,2
92,3
93,3
94,2
95,4
96,3
97,5
98,3
99,3
100,5
101,3
102,2
103,5
104,3
105,2
106,4
107,4
108,4
109,4
110,4
111,2
112,3
113,3
114,3
115,4
116,2
117,3
118,2
119,3
120,2
121,2
122,3
123,2
124,3
125,2
126,2
127,5
128,4
129,4
130,3
131,2
132,3
133,5
134,3
135,4
136,3
137,4
138,4
139,3
140,3
141,2
142,3
143,2
144,3
145,5
146,3
147,4
148,2
149,3
150,3
151,3
152,3
153,2
154,2
155,2
156,3
157,4
158,4
159,5
160,2
161,4
162,2
163,3
164,3
165,3
166,2
167,2
168,3
169,5
170,3
171,2
172,2
173,5
174,3
175,4
176,4
177,3
178,4
179,3
180,3
181,2
182,2
183,4
184,3
185,4
186,2
187,3
188,3
189,3
190,2
191,2
192,2
193,3
194,2
195,2
196,2
197,2
198,3
199,4
200,4
