scheduler,k,steps,retries,nacks,max_ballot,decision,reached_cap,safety
gap1,1,34,2,1,3,1,false,false
gap1,2,1000,51,246,52,0,true,false
gap1,3,1000,51,246,52,0,true,false
gap1,4,54,3,5,4,1,false,false
gap1,5,54,3,3,4,1,false,false
gap1,6,1000,51,243,52,0,true,false
gap1,10,74,4,5,5,1,false,false
gap1-backlog,1,44,2,1,3,1,false,false
gap1-backlog,2,44,2,1,3,1,false,false
gap1-backlog,3,44,2,1,3,1,false,false
gap1-backlog,4,44,2,1,3,1,false,false
gap1-backlog,5,44,2,1,3,1,false,false
gap1-backlog,6,44,2,1,3,1,false,false
gap1-backlog,10,44,2,1,3,1,false,false
