scheduler,k,steps,retries,nacks,max_ballot,decision,reached_cap,safety
fifo,0,24,1,0,2,1,false,false
fifo,1,24,1,0,2,1,false,false
fifo,2,24,1,0,2,1,false,false
fifo,3,24,1,0,2,1,false,false
fifo,4,24,1,0,2,1,false,false
fifo,5,24,1,0,2,1,false,false
fifo,6,24,1,0,2,1,false,false
fifo,10,24,1,0,2,1,false,false
random,0,24,1,1,2,1,false,false
random,1,24,1,1,2,1,false,false
random,2,24,1,1,2,1,false,false
random,3,24,1,1,2,1,false,false
random,4,24,1,1,2,1,false,false
random,5,24,1,1,2,1,false,false
random,6,24,1,1,2,1,false,false
random,10,24,1,1,2,1,false,false
gap1,0,24,1,0,2,1,false,false
gap1,1,24,1,1,2,1,false,false
gap1,2,24,1,1,2,1,false,false
gap1,3,24,1,1,2,1,false,false
gap1,4,24,1,1,2,1,false,false
gap1,5,24,1,1,2,1,false,false
gap1,6,24,1,1,2,1,false,false
gap1,10,24,1,1,2,1,false,false
gap1-backlog,0,24,1,0,2,1,false,false
gap1-backlog,1,24,1,1,2,1,false,false
gap1-backlog,2,24,1,1,2,1,false,false
gap1-backlog,3,24,1,1,2,1,false,false
gap1-backlog,4,24,1,1,2,1,false,false
gap1-backlog,5,24,1,1,2,1,false,false
gap1-backlog,6,24,1,1,2,1,false,false
gap1-backlog,10,24,1,1,2,1,false,false
