seed,messages_sent,scheduler_steps,paxos_retries,nack_messages,max_ballot_seen,safety_violation
1,20,20,0,0,0,false
2,20,20,0,0,0,false
3,20,20,0,0,0,false
4,20,20,0,0,0,false
5,20,20,0,0,0,false
6,20,20,0,0,0,false
7,20,20,0,0,0,false
8,20,20,0,0,0,false
9,20,20,0,0,0,false
10,20,20,0,0,0,false
11,20,20,0,0,0,false
12,20,20,0,0,0,false
13,20,20,0,0,0,false
14,20,20,0,0,0,false
15,20,20,0,0,0,false
16,20,20,0,0,0,false
17,20,20,0,0,0,false
18,20,20,0,0,0,false
19,20,20,0,0,0,false
20,20,20,0,0,0,false
21,20,20,0,0,0,false
22,20,20,0,0,0,false
23,20,20,0,0,0,false
24,20,20,0,0,0,false
25,20,20,0,0,0,false
26,20,20,0,0,0,false
27,20,20,0,0,0,false
28,20,20,0,0,0,false
29,20,20,0,0,0,false
30,20,20,0,0,0,false
31,20,20,0,0,0,false
32,20,20,0,0,0,false
33,20,20,0,0,0,false
34,20,20,0,0,0,false
35,20,20,0,0,0,false
36,20,20,0,0,0,false
37,20,20,0,0,0,false
38,20,20,0,0,0,false
39,20,20,0,0,0,false
40,20,20,0,0,0,false
41,20,20,0,0,0,false
42,20,20,0,0,0,false
43,20,20,0,0,0,false
44,20,20,0,0,0,false
45,20,20,0,0,0,false
46,20,20,0,0,0,false
47,20,20,0,0,0,false
48,20,20,0,0,0,false
49,20,20,0,0,0,false
50,20,20,0,0,0,false
51,20,20,0,0,0,false
52,20,20,0,0,0,false
53,20,20,0,0,0,false
54,20,20,0,0,0,false
55,20,20,0,0,0,false
56,20,20,0,0,0,false
57,20,20,0,0,0,false
58,20,20,0,0,0,false
59,20,20,0,0,0,false
60,20,20,0,0,0,false
61,20,20,0,0,0,false
62,20,20,0,0,0,false
63,20,20,0,0,0,false
64,20,20,0,0,0,false
65,20,20,0,0,0,false
66,20,20,0,0,0,false
67,20,20,0,0,0,false
68,20,20,0,0,0,false
69,20,20,0,0,0,false
70,20,20,0,0,0,false
71,20,20,0,0,0,false
72,20,20,0,0,0,false
73,20,20,0,0,0,false
74,20,20,0,0,0,false
75,20,20,0,0,0,false
76,20,20,0,0,0,false
77,20,20,0,0,0,false
78,20,20,0,0,0,false
79,20,20,0,0,0,false
80,20,20,0,0,0,false
81,20,20,0,0,0,false
82,20,20,0,0,0,false
83,20,20,0,0,0,false
84,20,20,0,0,0,false
85,20,20,0,0,0,false
86,20,20,0,0,0,false
87,20,20,0,0,0,false
88,20,20,0,0,0,false
89,20,20,0,0,0,false
90,20,20,0,0,0,false
91,20,20,0,0,0,false
92,20,20,0,0,0,false
93,20,20,0,0,0,false
94,20,20,0,0,0,false
95,20,20,0,0,0,false
96,20,20,0,0,0,false
97,20,20,0,0,0,false
98,20,20,0,0,0,false
99,20,20,0,0,0,false
100,20,20,0,0,0,false
101,20,20,0,0,0,false
102,20,20,0,0,0,false
103,20,20,0,0,0,false
104,20,20,0,0,0,false
105,20,20,0,0,0,false
106,20,20,0,0,0,false
107,20,20,0,0,0,false
108,20,20,0,0,0,false
109,20,20,0,0,0,false
110,20,20,0,0,0,false
111,20,20,0,0,0,false
112,20,20,0,0,0,false
113,20,20,0,0,0,false
114,20,20,0,0,0,false
115,20,20,0,0,0,false
116,20,20,0,0,0,false
117,20,20,0,0,0,false
118,20,20,0,0,0,false
119,20,20,0,0,0,false
120,20,20,0,0,0,false
121,20,20,0,0,0,false
122,20,20,0,0,0,false
123,20,20,0,0,0,false
124,20,20,0,0,0,false
125,20,20,0,0,0,false
126,20,20,0,0,0,false
127,20,20,0,0,0,false
128,20,20,0,0,0,false
129,20,20,0,0,0,false
130,20,20,0,0,0,false
131,20,20,0,0,0,false
132,20,20,0,0,0,false
133,20,20,0,0,0,false
134,20,20,0,0,0,false
135,20,20,0,0,0,false
136,20,20,0,0,0,false
137,20,20,0,0,0,false
138,20,20,0,0,0,false
139,20,20,0,0,0,false
140,20,20,0,0,0,false
141,20,20,0,0,0,false
142,20,20,0,0,0,false
143,20,20,0,0,0,false
144,20,20,0,0,0,false
145,20,20,0,0,0,false
146,20,20,0,0,0,false
147,20,20,0,0,0,false
148,20,20,0,0,0,false
149,20,20,0,0,0,false
150,20,20,0,0,0,false
151,20,20,0,0,0,false
152,20,20,0,0,0,false
153,20,20,0,0,0,false
154,20,20,0,0,0,false
155,20,20,0,0,0,false
156,20,20,0,0,0,false
157,20,20,0,0,0,false
158,20,20,0,0,0,false
159,20,20,0,0,0,false
160,20,20,0,0,0,false
161,20,20,0,0,0,false
162,20,20,0,0,0,false
163,20,20,0,0,0,false
164,20,20,0,0,0,false
165,20,20,0,0,0,false
166,20,20,0,0,0,false
167,20,20,0,0,0,false
168,20,20,0,0,0,false
169,20,20,0,0,0,false
170,20,20,0,0,0,false
171,20,20,0,0,0,false
172,20,20,0,0,0,false
173,20,20,0,0,0,false
174,20,20,0,0,0,false
175,20,20,0,0,0,false
176,20,20,0,0,0,false
177,20,20,0,0,0,false
178,20,20,0,0,0,false
179,20,20,0,0,0,false
180,20,20,0,0,0,false
181,20,20,0,0,0,false
182,20,20,0,0,0,false
183,20,20,0,0,0,false
184,20,20,0,0,0,false
185,20,20,0,0,0,false
186,20,20,0,0,0,false
187,20,20,0,0,0,false
188,20,20,0,0,0,false
189,20,20,0,0,0,false
190,20,20,0,0,0,false
191,20,20,0,0,0,false
192,20,20,0,0,0,false
193,20,20,0,0,0,false
194,20,20,0,0,0,false
195,20,20,0,0,0,false
196,20,20,0,0,0,false
197,20,20,0,0,0,false
198,20,20,0,0,0,false
199,20,20,0,0,0,false
200,20,20,0,0,0,false
