seed,messages_sent,scheduler_steps,paxos_retries,nack_messages,max_ballot_seen,safety_violation
1,22,24,1,2,2,false
2,22,24,1,0,2,false
3,22,24,1,1,2,false
4,22,24,1,2,2,false
5,22,24,1,1,2,false
6,22,24,1,0,2,false
7,22,24,1,0,2,false
8,22,24,1,2,2,false
9,22,24,1,1,2,false
10,22,24,1,1,2,false
11,22,24,1,0,2,false
12,22,24,1,2,2,false
13,22,24,1,2,2,false
14,22,24,1,1,2,false
15,22,24,1,1,2,false
16,22,24,1,1,2,false
17,22,24,1,1,2,false
18,22,24,1,1,2,false
19,22,24,1,0,2,false
20,22,24,1,2,2,false
21,22,24,1,0,2,false
22,22,24,1,0,2,false
23,22,24,1,1,2,false
24,22,24,1,2,2,false
25,22,24,1,2,2,false
26,22,24,1,1,2,false
27,22,24,1,1,2,false
28,22,24,1,2,2,false
29,22,24,1,1,2,false
30,22,24,1,1,2,false
31,22,24,1,0,2,false
32,22,24,1,0,2,false
33,22,24,1,2,2,false
34,22,24,1,1,2,false
35,22,24,1,2,2,false
36,22,24,1,2,2,false
37,22,24,1,1,2,false
38,22,24,1,0,2,false
39,22,24,1,2,2,false
40,22,24,1,1,2,false
41,22,24,1,1,2,false
42,22,24,1,1,2,false
43,22,24,1,2,2,false
44,22,24,1,2,2,false
45,22,24,1,2,2,false
46,22,24,1,1,2,false
47,22,24,1,1,2,false
48,22,24,1,1,2,false
49,22,24,1,0,2,false
50,22,24,1,1,2,false
51,22,24,1,1,2,false
52,22,24,1,1,2,false
53,22,24,1,2,2,false
54,22,24,1,2,2,false
55,22,24,1,0,2,false
56,22,24,1,0,2,false
57,22,24,1,1,2,false
58,22,24,1,1,2,false
59,22,24,1,0,2,false
60,22,24,1,2,2,false
61,22,24,1,1,2,false
62,22,24,1,2,2,false
63,22,24,1,1,2,false
64,22,24,1,2,2,false
65,22,24,1,0,2,false
66,22,24,1,2,2,false
67,22,24,1,1,2,false
68,22,24,1,2,2,false
69,22,24,1,0,2,false
70,22,24,1,1,2,false
71,22,24,1,0,2,false
72,22,24,1,2,2,false
73,22,24,1,1,2,false
74,22,24,1,2,2,false
75,22,24,1,1,2,false
76,22,24,1,1,2,false
77,22,24,1,2,2,false
78,22,24,1,1,2,false
79,22,24,1,1,2,false
80,22,24,1,2,2,false
81,22,24,1,0,2,false
82,22,24,1,0,2,false
83,22,24,1,0,2,false
84,22,24,1,2,2,false
85,22,24,1,0,2,false
86,22,24,1,0,2,false
87,22,24,1,2,2,false
88,22,24,1,1,2,false
89,22,24,1,1,2,false
90,22,24,1,2,2,false
91,22,24,1,0,2,false
92,22,24,1,1,2,false
93,22,24,1,1,2,false
94,22,24,1,0,2,false
95,22,24,1,1,2,false
96,22,24,1,1,2,false
97,22,24,1,2,2,false
98,22,24,1,2,2,false
99,22,24,1,1,2,false
100,22,24,1,2,2,false
101,22,24,1,1,2,false
102,22,24,1,0,2,false
103,22,24,1,1,2,false
104,22,24,1,1,2,false
105,22,24,1,0,2,false
106,22,24,1,2,2,false
107,22,24,1,1,2,false
108,22,24,1,1,2,false
109,22,24,1,2,2,false
110,22,24,1,1,2,false
111,22,24,1,1,2,false
112,22,24,1,1,2,false
113,22,24,1,1,2,false
114,22,24,1,1,2,false
115,22,24,1,2,2,false
116,22,24,1,0,2,false
117,22,24,1,2,2,false
118,22,24,1,1,2,false
119,22,24,1,2,2,false
120,22,24,1,0,2,false
121,22,24,1,0,2,false
122,22,24,1,1,2,false
123,22,24,1,0,2,false
124,22,24,1,2,2,false
125,22,24,1,1,2,false
126,22,24,1,1,2,false
127,22,24,1,1,2,false
128,22,24,1,1,2,false
129,22,24,1,2,2,false
130,22,24,1,2,2,false
131,22,24,1,0,2,false
132,22,24,1,2,2,false
133,22,24,1,1,2,false
134,22,24,1,2,2,false
135,22,24,1,2,2,false
136,22,24,1,1,2,false
137,22,24,1,2,2,false
138,22,24,1,2,2,false
139,22,24,1,2,2,false
140,22,24,1,1,2,false
141,22,24,1,1,2,false
142,22,24,1,1,2,false
143,22,24,1,1,2,false
144,22,24,1,2,2,false
145,22,24,1,2,2,false
146,22,24,1,2,2,false
147,22,24,1,2,2,false
148,22,24,1,0,2,false
149,22,24,1,1,2,false
150,22,24,1,1,2,false
151,22,24,1,2,2,false
152,22,24,1,1,2,false
153,22,24,1,1,2,false
