k,seed,first,stable,views,ballot
0,1,97,97,1,2
0,2,97,97,1,2
0,3,97,97,1,2
0,4,97,97,1,2
0,5,97,97,1,2
0,6,97,97,1,2
0,7,97,97,1,2
0,8,97,97,1,2
0,9,97,97,1,2
0,10,97,97,1,2
0,11,97,97,1,2
0,12,97,97,1,2
0,13,97,97,1,2
0,14,97,97,1,2
0,15,97,97,1,2
0,16,97,97,1,2
0,17,97,97,1,2
0,18,97,97,1,2
0,19,97,97,1,2
0,20,97,97,1,2
1,1,97,97,1,2
1,2,97,97,1,2
1,3,97,97,1,2
1,4,97,97,1,2
1,5,97,97,1,2
1,6,97,97,1,2
1,7,97,97,1,2
1,8,97,97,1,2
1,9,97,97,1,2
1,10,97,97,1,2
1,11,97,97,1,2
1,12,97,97,1,2
1,13,97,97,1,2
1,14,97,97,1,2
1,15,97,97,1,2
1,16,97,97,1,2
1,17,97,97,1,2
1,18,97,97,1,2
1,19,97,97,1,2
1,20,97,97,1,2
2,1,97,97,1,2
2,2,97,97,1,2
2,3,97,97,1,2
2,4,97,97,1,2
2,5,97,97,1,2
2,6,97,97,1,2
2,7,97,97,1,2
2,8,97,97,1,2
2,9,97,97,1,2
2,10,97,97,1,2
2,11,97,97,1,2
2,12,97,97,1,2
2,13,97,97,1,2
2,14,97,97,1,2
2,15,97,97,1,2
2,16,97,97,1,2
2,17,97,97,1,2
2,18,97,97,1,2
2,19,97,97,1,2
2,20,97,97,1,2
3,1,97,97,1,2
3,2,97,97,1,2
3,3,97,97,1,2
3,4,97,97,1,2
3,5,97,97,1,2
3,6,97,97,1,2
3,7,97,97,1,2
3,8,97,97,1,2
3,9,97,97,1,2
3,10,97,97,1,2
3,11,97,97,1,2
3,12,97,97,1,2
3,13,97,97,1,2
3,14,97,97,1,2
3,15,97,97,1,2
3,16,97,97,1,2
3,17,97,97,1,2
3,18,97,97,1,2
3,19,97,97,1,2
3,20,97,97,1,2
4,1,98,98,1,2
4,2,98,98,1,2
4,3,98,98,1,2
4,4,98,98,1,2
4,5,98,98,1,2
4,6,98,98,1,2
4,7,98,98,1,2
4,8,98,98,1,2
4,9,98,98,1,2
4,10,98,98,1,2
4,11,98,98,1,2
4,12,98,98,1,2
4,13,98,98,1,2
4,14,98,98,1,2
4,15,98,98,1,2
4,16,98,98,1,2
4,17,98,98,1,2
4,18,98,98,1,2
4,19,98,98,1,2
4,20,98,98,1,2
5,1,98,98,1,2
5,2,98,98,1,2
5,3,98,98,1,2
5,4,98,98,1,2
5,5,98,98,1,2
5,6,98,98,1,2
5,7,98,98,1,2
5,8,98,98,1,2
5,9,98,98,1,2
5,10,98,98,1,2
5,11,98,98,1,2
5,12,98,98,1,2
5,13,98,98,1,2
5,14,98,98,1,2
5,15,98,98,1,2
5,16,98,98,1,2
5,17,98,98,1,2
5,18,98,98,1,2
5,19,98,98,1,2
5,20,98,98,1,2
6,1,98,147,2,3
6,2,98,98,1,2
6,3,98,98,1,2
6,4,98,98,1,2
6,5,98,98,1,2
6,6,98,98,1,2
6,7,98,98,1,2
6,8,99,99,1,2
6,9,98,98,1,2
6,10,98,98,1,2
6,11,98,98,1,2
6,12,99,99,1,2
6,13,98,98,1,2
6,14,98,98,1,2
6,15,98,98,1,2
6,16,98,98,1,2
6,17,98,98,1,2
6,18,98,98,1,2
6,19,98,98,1,2
6,20,98,98,1,2
7,1,98,148,2,3
7,2,98,98,1,2
7,3,98,98,1,2
7,4,98,98,1,2
7,5,98,98,1,2
7,6,98,98,1,2
7,7,98,98,1,2
7,8,99,99,1,2
7,9,98,98,1,2
7,10,98,98,1,2
7,11,98,98,1,2
7,12,99,99,1,2
7,13,98,98,1,2
7,14,98,98,1,2
7,15,99,99,1,2
7,16,98,98,1,2
7,17,98,98,1,2
7,18,98,98,1,2
7,19,98,98,1,2
7,20,98,98,1,2
8,1,98,149,2,3
8,2,98,98,1,2
8,3,98,98,1,2
8,4,98,98,1,2
8,5,98,98,1,2
8,6,99,99,1,2
8,7,98,98,1,2
8,8,99,99,1,2
8,9,98,98,1,2
8,10,98,98,1,2
8,11,98,98,1,2
8,12,100,100,1,2
8,13,98,98,1,2
8,14,98,98,1,2
8,15,100,100,1,2
8,16,98,98,1,2
8,17,99,99,1,2
8,18,98,98,1,2
8,19,98,98,1,2
8,20,98,98,1,2
9,1,99,150,2,3
9,2,98,98,1,2
9,3,98,98,1,2
9,4,98,98,1,2
9,5,98,98,1,2
9,6,99,99,1,2
9,7,98,98,1,2
9,8,99,99,1,2
9,9,98,98,1,2
9,10,99,99,1,2
9,11,98,98,1,2
9,12,100,100,1,2
9,13,98,98,1,2
9,14,98,98,1,2
9,15,100,100,1,2
9,16,99,150,2,3
9,17,99,99,1,2
9,18,98,98,1,2
9,19,98,98,1,2
9,20,98,98,1,2
