seed,k13_first,k13_stable,k13_views,k13_ballot,k14_first,k14_stable,k14_views,k14_ballot
1,101,154,2,3,101,191,3,4
2,100,100,1,2,101,191,3,4
3,99,154,2,3,99,191,3,4
4,100,100,1,2,101,191,3,4
5,99,154,2,3,99,191,3,4
6,99,99,1,2,100,191,3,4
7,101,154,2,3,101,191,3,4
8,99,154,2,3,100,191,3,4
9,101,154,2,3,102,191,3,4
10,100,154,2,3,100,191,3,4
11,100,154,2,3,101,191,3,4
12,101,154,2,3,102,191,3,4
13,100,154,2,3,101,191,3,4
14,100,100,1,2,100,191,3,4
15,102,154,2,3,102,191,3,4
16,100,154,2,3,100,191,3,4
17,100,154,2,3,100,191,3,4
18,100,154,2,3,100,191,3,4
19,100,154,2,3,101,191,3,4
20,100,100,1,2,100,191,3,4
