k,seed,first,stable,views,ballot
0,1,142,142,1,2
0,2,142,142,1,2
0,3,142,142,1,2
0,4,142,142,1,2
0,5,142,142,1,2
0,6,142,142,1,2
0,7,142,142,1,2
0,8,142,142,1,2
0,9,142,142,1,2
0,10,142,142,1,2
0,11,142,142,1,2
0,12,142,142,1,2
0,13,142,142,1,2
0,14,142,142,1,2
0,15,142,142,1,2
0,16,142,142,1,2
0,17,142,142,1,2
0,18,142,142,1,2
0,19,142,142,1,2
0,20,142,142,1,2
1,1,142,142,1,2
1,2,142,142,1,2
1,3,142,142,1,2
1,4,142,142,1,2
1,5,142,142,1,2
1,6,142,213,2,3
1,7,142,142,1,2
1,8,142,142,1,2
1,9,142,142,1,2
1,10,142,142,1,2
1,11,142,142,1,2
1,12,142,142,1,2
1,13,142,142,1,2
1,14,142,142,1,2
1,15,142,142,1,2
1,16,142,142,1,2
1,17,142,142,1,2
1,18,142,142,1,2
1,19,142,142,1,2
1,20,142,142,1,2
2,1,143,143,1,2
2,2,143,143,1,2
2,3,143,143,1,2
2,4,143,143,1,2
2,5,143,143,1,2
2,6,143,214,2,3
2,7,143,143,1,2
2,8,143,143,1,2
2,9,143,143,1,2
2,10,143,214,2,3
2,11,143,143,1,2
2,12,143,143,1,2
2,13,143,143,1,2
2,14,143,143,1,2
2,15,143,143,1,2
2,16,143,143,1,2
2,17,143,143,1,2
2,18,143,143,1,2
2,19,143,143,1,2
2,20,143,143,1,2
3,1,144,144,1,2
3,2,144,144,1,2
3,3,144,144,1,2
3,4,144,144,1,2
3,5,144,144,1,2
3,6,144,215,2,3
3,7,144,144,1,2
3,8,144,144,1,2
3,9,144,144,1,2
3,10,144,215,2,3
3,11,144,144,1,2
3,12,144,144,1,2
3,13,144,144,1,2
3,14,144,144,1,2
3,15,144,144,1,2
3,16,144,144,1,2
3,17,144,144,1,2
3,18,144,144,1,2
3,19,144,215,2,3
3,20,144,144,1,2
4,1,145,145,1,2
4,2,145,145,1,2
4,3,145,145,1,2
4,4,145,145,1,2
4,5,145,145,1,2
4,6,145,216,2,3
4,7,145,145,1,2
4,8,145,145,1,2
4,9,145,145,1,2
4,10,145,216,2,3
4,11,145,145,1,2
4,12,145,145,1,2
4,13,145,145,1,2
4,14,145,145,1,2
4,15,145,145,1,2
4,16,145,216,2,3
4,17,145,145,1,2
4,18,145,145,1,2
4,19,145,216,2,3
4,20,145,145,1,2
5,1,145,145,1,2
5,2,145,145,1,2
5,3,145,145,1,2
5,4,145,145,1,2
5,5,145,145,1,2
5,6,145,217,2,3
5,7,145,217,2,3
5,8,145,145,1,2
5,9,145,145,1,2
5,10,145,217,2,3
5,11,145,145,1,2
5,12,145,145,1,2
5,13,145,145,1,2
5,14,145,145,1,2
5,15,145,145,1,2
5,16,145,217,2,3
5,17,145,145,1,2
5,18,145,145,1,2
5,19,145,217,2,3
5,20,145,145,1,2
6,1,145,218,2,3
6,2,145,145,1,2
6,3,145,145,1,2
6,4,145,145,1,2
6,5,145,145,1,2
6,6,145,218,2,3
6,7,145,218,2,3
6,8,146,218,2,3
6,9,145,145,1,2
6,10,145,218,2,3
6,11,145,218,2,3
6,12,145,218,2,3
6,13,145,218,2,3
6,14,145,218,2,3
6,15,145,218,2,3
6,16,145,218,2,3
6,17,145,218,2,3
6,18,145,145,1,2
6,19,145,218,2,3
6,20,145,145,1,2
