k,seed,first,stable,views,ballot,safety
0,1,97,97,1,2,false
0,2,97,97,1,2,false
0,3,97,97,1,2,false
0,4,97,97,1,2,false
0,5,97,97,1,2,false
0,6,97,97,1,2,false
0,7,97,97,1,2,false
0,8,97,97,1,2,false
0,9,97,97,1,2,false
0,10,97,97,1,2,false
0,11,97,97,1,2,false
0,12,97,97,1,2,false
0,13,97,97,1,2,false
0,14,97,97,1,2,false
0,15,97,97,1,2,false
0,16,97,97,1,2,false
0,17,97,97,1,2,false
0,18,97,97,1,2,false
0,19,97,97,1,2,false
0,20,97,97,1,2,false
1,1,98,98,1,2,false
1,2,98,98,1,2,false
1,3,98,98,1,2,false
1,4,98,98,1,2,false
1,5,98,98,1,2,false
1,6,98,98,1,2,false
1,7,98,98,1,2,false
1,8,98,98,1,2,false
1,9,98,98,1,2,false
1,10,98,98,1,2,false
1,11,98,98,1,2,false
1,12,98,98,1,2,false
1,13,98,98,1,2,false
1,14,98,98,1,2,false
1,15,98,98,1,2,false
1,16,98,98,1,2,false
1,17,98,98,1,2,false
1,18,98,98,1,2,false
1,19,98,98,1,2,false
1,20,98,98,1,2,false
2,1,99,99,1,2,false
2,2,99,99,1,2,false
2,3,99,99,1,2,false
2,4,99,99,1,2,false
2,5,99,99,1,2,false
2,6,99,99,1,2,false
2,7,99,99,1,2,false
2,8,99,99,1,2,false
2,9,99,99,1,2,false
2,10,99,99,1,2,false
2,11,99,99,1,2,false
2,12,99,99,1,2,false
2,13,99,99,1,2,false
2,14,99,99,1,2,false
2,15,99,99,1,2,false
2,16,99,99,1,2,false
2,17,99,99,1,2,false
2,18,99,99,1,2,false
2,19,99,99,1,2,false
2,20,99,99,1,2,false
3,1,100,100,1,2,false
3,2,100,100,1,2,false
3,3,100,100,1,2,false
3,4,100,100,1,2,false
3,5,100,100,1,2,false
3,6,100,100,1,2,false
3,7,100,100,1,2,false
3,8,100,100,1,2,false
3,9,100,100,1,2,false
3,10,100,100,1,2,false
3,11,100,100,1,2,false
3,12,100,100,1,2,false
3,13,100,100,1,2,false
3,14,100,100,1,2,false
3,15,100,100,1,2,false
3,16,100,100,1,2,false
3,17,100,100,1,2,false
3,18,100,100,1,2,false
3,19,100,100,1,2,false
3,20,100,100,1,2,false
4,1,101,101,1,2,false
4,2,101,101,1,2,false
4,3,101,101,1,2,false
4,4,101,101,1,2,false
4,5,101,101,1,2,false
4,6,101,101,1,2,false
4,7,101,101,1,2,false
4,8,101,101,1,2,false
4,9,101,101,1,2,false
4,10,101,101,1,2,false
4,11,101,101,1,2,false
4,12,101,101,1,2,false
4,13,101,101,1,2,false
4,14,101,101,1,2,false
4,15,101,101,1,2,false
4,16,101,101,1,2,false
4,17,101,101,1,2,false
4,18,101,101,1,2,false
4,19,101,101,1,2,false
4,20,101,101,1,2,false
5,1,102,102,1,2,false
5,2,102,102,1,2,false
5,3,102,102,1,2,false
5,4,102,102,1,2,false
5,5,102,102,1,2,false
5,6,102,102,1,2,false
5,7,102,102,1,2,false
5,8,102,102,1,2,false
5,9,102,102,1,2,false
5,10,102,102,1,2,false
5,11,102,102,1,2,false
5,12,102,102,1,2,false
5,13,102,102,1,2,false
5,14,102,102,1,2,false
5,15,102,102,1,2,false
5,16,102,102,1,2,false
5,17,102,102,1,2,false
5,18,102,102,1,2,false
5,19,102,102,1,2,false
5,20,102,102,1,2,false
6,1,103,103,1,2,false
6,2,103,103,1,2,false
6,3,103,103,1,2,false
6,4,103,103,1,2,false
6,5,103,103,1,2,false
6,6,103,103,1,2,false
6,7,103,103,1,2,false
6,8,103,103,1,2,false
6,9,103,103,1,2,false
6,10,103,103,1,2,false
6,11,103,103,1,2,false
6,12,103,103,1,2,false
6,13,103,103,1,2,false
6,14,103,103,1,2,false
6,15,103,103,1,2,false
6,16,103,103,1,2,false
6,17,103,103,1,2,false
6,18,103,103,1,2,false
6,19,103,103,1,2,false
6,20,103,103,1,2,false
7,1,104,104,1,2,false
7,2,104,104,1,2,false
7,3,104,104,1,2,false
7,4,104,104,1,2,false
7,5,104,104,1,2,false
7,6,104,104,1,2,false
7,7,104,104,1,2,false
7,8,104,104,1,2,false
7,9,104,104,1,2,false
7,10,104,104,1,2,false
7,11,104,104,1,2,false
7,12,104,104,1,2,false
7,13,104,104,1,2,false
7,14,104,104,1,2,false
7,15,104,104,1,2,false
7,16,104,104,1,2,false
7,17,104,104,1,2,false
7,18,104,104,1,2,false
7,19,104,104,1,2,false
7,20,104,104,1,2,false
8,1,105,105,1,2,false
8,2,105,105,1,2,false
8,3,105,105,1,2,false
8,4,105,105,1,2,false
8,5,105,105,1,2,false
8,6,105,105,1,2,false
8,7,105,105,1,2,false
8,8,105,105,1,2,false
8,9,105,105,1,2,false
8,10,105,105,1,2,false
8,11,105,105,1,2,false
8,12,105,105,1,2,false
8,13,105,105,1,2,false
8,14,105,105,1,2,false
8,15,105,105,1,2,false
8,16,105,105,1,2,false
8,17,105,105,1,2,false
8,18,105,105,1,2,false
8,19,105,105,1,2,false
8,20,105,105,1,2,false
9,1,106,106,1,2,false
9,2,106,106,1,2,false
9,3,106,106,1,2,false
9,4,106,106,1,2,false
9,5,106,106,1,2,false
9,6,106,106,1,2,false
9,7,106,106,1,2,false
9,8,106,106,1,2,false
9,9,106,106,1,2,false
9,10,106,106,1,2,false
9,11,106,106,1,2,false
9,12,106,106,1,2,false
9,13,106,106,1,2,false
9,14,106,106,1,2,false
9,15,106,106,1,2,false
9,16,106,106,1,2,false
9,17,106,106,1,2,false
9,18,106,106,1,2,false
9,19,106,106,1,2,false
9,20,106,106,1,2,false
10,1,107,107,1,2,false
10,2,107,107,1,2,false
10,3,107,107,1,2,false
10,4,107,107,1,2,false
10,5,107,107,1,2,false
10,6,107,107,1,2,false
10,7,107,107,1,2,false
10,8,107,107,1,2,false
10,9,107,107,1,2,false
10,10,107,107,1,2,false
10,11,107,107,1,2,false
10,12,107,107,1,2,false
10,13,107,107,1,2,false
10,14,107,107,1,2,false
10,15,107,107,1,2,false
10,16,107,107,1,2,false
10,17,107,107,1,2,false
10,18,107,107,1,2,false
10,19,107,107,1,2,false
10,20,107,107,1,2,false
11,1,108,108,1,2,false
11,2,108,108,1,2,false
11,3,108,108,1,2,false
11,4,108,108,1,2,false
11,5,108,108,1,2,false
11,6,108,108,1,2,false
11,7,108,108,1,2,false
11,8,108,108,1,2,false
11,9,108,108,1,2,false
11,10,108,108,1,2,false
11,11,108,108,1,2,false
11,12,108,108,1,2,false
11,13,108,108,1,2,false
11,14,108,108,1,2,false
11,15,108,108,1,2,false
11,16,108,108,1,2,false
11,17,108,108,1,2,false
11,18,108,108,1,2,false
11,19,108,108,1,2,false
11,20,108,108,1,2,false
12,1,109,109,1,2,false
12,2,109,109,1,2,false
12,3,109,109,1,2,false
12,4,109,109,1,2,false
12,5,109,109,1,2,false
12,6,109,109,1,2,false
12,7,109,109,1,2,false
12,8,109,109,1,2,false
12,9,109,109,1,2,false
12,10,109,109,1,2,false
12,11,109,109,1,2,false
12,12,109,109,1,2,false
12,13,109,109,1,2,false
12,14,109,109,1,2,false
12,15,109,109,1,2,false
12,16,109,109,1,2,false
12,17,109,109,1,2,false
12,18,109,109,1,2,false
12,19,109,109,1,2,false
12,20,109,109,1,2,false
13,1,109,109,1,2,false
13,2,109,109,1,2,false
13,3,109,109,1,2,false
13,4,109,109,1,2,false
13,5,109,109,1,2,false
13,6,109,109,1,2,false
13,7,109,109,1,2,false
13,8,109,109,1,2,false
13,9,109,109,1,2,false
13,10,109,109,1,2,false
13,11,109,109,1,2,false
13,12,109,109,1,2,false
13,13,109,109,1,2,false
13,14,109,109,1,2,false
13,15,109,109,1,2,false
13,16,109,109,1,2,false
13,17,109,109,1,2,false
13,18,109,109,1,2,false
13,19,109,109,1,2,false
13,20,109,109,1,2,false
14,1,109,109,1,2,false
14,2,109,109,1,2,false
14,3,109,109,1,2,false
14,4,109,109,1,2,false
14,5,109,109,1,2,false
14,6,109,109,1,2,false
14,7,109,109,1,2,false
14,8,109,109,1,2,false
14,9,109,109,1,2,false
14,10,109,109,1,2,false
14,11,109,109,1,2,false
14,12,109,109,1,2,false
14,13,109,109,1,2,false
14,14,109,109,1,2,false
14,15,109,109,1,2,false
14,16,109,109,1,2,false
14,17,109,109,1,2,false
14,18,109,109,1,2,false
14,19,109,109,1,2,false
14,20,109,109,1,2,false
