seed,time_model,recovery_step,recovery_tick,stable_step,stable_tick,views,ballot,safety
1,event-coupled,136,135,173,172,2,3,false
1,round-tick,190,37,190,37,1,2,false
2,event-coupled,123,122,123,122,1,2,false
2,round-tick,191,38,191,38,1,2,false
3,event-coupled,131,130,290,289,4,5,false
3,round-tick,189,37,189,37,1,2,false
4,event-coupled,122,121,122,121,1,2,false
4,round-tick,190,37,190,37,1,2,false
5,event-coupled,135,134,295,294,4,5,false
5,round-tick,190,37,190,37,1,2,false
6,event-coupled,135,134,295,294,4,5,false
6,round-tick,189,37,189,37,1,2,false
7,event-coupled,125,124,125,124,1,2,false
7,round-tick,190,37,190,37,1,2,false
8,event-coupled,134,133,290,289,4,5,false
8,round-tick,190,37,190,37,1,2,false
9,event-coupled,123,122,123,122,1,2,false
9,round-tick,191,38,191,38,1,2,false
10,event-coupled,137,136,173,172,2,3,false
10,round-tick,190,37,190,37,1,2,false
11,event-coupled,132,131,285,284,4,5,false
11,round-tick,190,37,190,37,1,2,false
12,event-coupled,139,138,290,289,4,5,false
12,round-tick,189,37,189,37,1,2,false
13,event-coupled,132,131,295,294,4,5,false
13,round-tick,191,38,191,38,1,2,false
14,event-coupled,136,135,295,294,4,5,false
14,round-tick,191,38,191,38,1,2,false
15,event-coupled,138,137,295,294,4,5,false
15,round-tick,190,37,190,37,1,2,false
16,event-coupled,135,134,173,172,2,3,false
16,round-tick,189,37,189,37,1,2,false
17,event-coupled,132,131,295,294,4,5,false
17,round-tick,192,38,192,38,1,2,false
18,event-coupled,124,123,124,123,1,2,false
18,round-tick,191,38,191,38,1,2,false
19,event-coupled,134,133,290,289,4,5,false
19,round-tick,190,37,190,37,1,2,false
20,event-coupled,135,134,177,176,2,3,false
20,round-tick,190,37,190,37,1,2,false
