k,seed,recovery_tick,stable_tick,views,ballot,safety
0,1,35,35,1,2,false
0,2,35,35,1,2,false
0,3,35,35,1,2,false
0,4,35,35,1,2,false
0,5,35,35,1,2,false
0,6,35,35,1,2,false
0,7,35,35,1,2,false
0,8,35,35,1,2,false
0,9,35,35,1,2,false
0,10,35,35,1,2,false
0,11,35,35,1,2,false
0,12,35,35,1,2,false
0,13,35,35,1,2,false
0,14,35,35,1,2,false
0,15,35,35,1,2,false
0,16,35,35,1,2,false
0,17,35,35,1,2,false
0,18,35,35,1,2,false
0,19,35,35,1,2,false
0,20,35,35,1,2,false
6,1,37,37,1,2,false
6,2,37,37,1,2,false
6,3,36,36,1,2,false
6,4,36,36,1,2,false
6,5,36,36,1,2,false
6,6,36,36,1,2,false
6,7,36,36,1,2,false
6,8,37,37,1,2,false
6,9,37,37,1,2,false
6,10,37,37,1,2,false
6,11,37,37,1,2,false
6,12,36,36,1,2,false
6,13,37,37,1,2,false
6,14,37,37,1,2,false
6,15,37,37,1,2,false
6,16,36,36,1,2,false
6,17,37,37,1,2,false
6,18,37,37,1,2,false
6,19,36,36,1,2,false
6,20,36,36,1,2,false
8,1,37,37,1,2,false
8,2,37,37,1,2,false
8,3,37,37,1,2,false
8,4,37,37,1,2,false
8,5,37,37,1,2,false
8,6,37,37,1,2,false
8,7,37,37,1,2,false
8,8,37,37,1,2,false
8,9,37,37,1,2,false
8,10,37,37,1,2,false
8,11,37,37,1,2,false
8,12,37,37,1,2,false
8,13,37,37,1,2,false
8,14,37,37,1,2,false
8,15,37,37,1,2,false
8,16,37,37,1,2,false
8,17,37,37,1,2,false
8,18,37,37,1,2,false
8,19,37,37,1,2,false
8,20,37,37,1,2,false
10,1,37,37,1,2,false
10,2,37,37,1,2,false
10,3,37,37,1,2,false
10,4,37,37,1,2,false
10,5,37,37,1,2,false
10,6,37,37,1,2,false
10,7,37,37,1,2,false
10,8,37,37,1,2,false
10,9,37,37,1,2,false
10,10,37,37,1,2,false
10,11,37,37,1,2,false
10,12,37,37,1,2,false
10,13,37,37,1,2,false
10,14,37,37,1,2,false
10,15,37,37,1,2,false
10,16,37,37,1,2,false
10,17,38,38,1,2,false
10,18,37,37,1,2,false
10,19,37,37,1,2,false
10,20,37,37,1,2,false
11,1,37,37,1,2,false
11,2,38,38,1,2,false
11,3,37,37,1,2,false
11,4,37,37,1,2,false
11,5,37,37,1,2,false
11,6,37,37,1,2,false
11,7,37,37,1,2,false
11,8,37,37,1,2,false
11,9,38,38,1,2,false
11,10,37,37,1,2,false
11,11,37,37,1,2,false
11,12,37,37,1,2,false
11,13,38,38,1,2,false
11,14,38,38,1,2,false
11,15,37,37,1,2,false
11,16,37,37,1,2,false
11,17,38,38,1,2,false
11,18,38,38,1,2,false
11,19,37,37,1,2,false
11,20,37,37,1,2,false
12,1,38,38,1,2,false
12,2,38,38,1,2,false
12,3,37,37,1,2,false
12,4,38,38,1,2,false
12,5,38,38,1,2,false
12,6,37,37,1,2,false
12,7,37,37,1,2,false
12,8,38,38,1,2,false
12,9,38,38,1,2,false
12,10,38,38,1,2,false
12,11,38,38,1,2,false
12,12,37,37,1,2,false
12,13,38,38,1,2,false
12,14,38,38,1,2,false
12,15,38,38,1,2,false
12,16,37,37,1,2,false
12,17,38,38,1,2,false
12,18,38,38,1,2,false
12,19,38,38,1,2,false
12,20,38,38,1,2,false
14,1,38,38,1,2,false
14,2,38,38,1,2,false
14,3,38,38,1,2,false
14,4,38,38,1,2,false
14,5,38,38,1,2,false
14,6,38,38,1,2,false
14,7,38,38,1,2,false
14,8,38,38,1,2,false
14,9,38,38,1,2,false
14,10,38,38,1,2,false
14,11,38,38,1,2,false
14,12,38,38,1,2,false
14,13,38,38,1,2,false
14,14,38,38,1,2,false
14,15,38,38,1,2,false
14,16,38,38,1,2,false
14,17,38,38,1,2,false
14,18,38,38,1,2,false
14,19,38,38,1,2,false
14,20,38,38,1,2,false
