n,k,seed,recovery_tick,stable_tick,views,ballot,safety
3,10,1,41,41,1,2,false
3,10,2,41,41,1,2,false
3,10,3,41,41,1,2,false
3,10,4,41,41,1,2,false
3,10,5,41,41,1,2,false
3,10,6,41,41,1,2,false
3,10,7,42,42,1,2,false
3,10,8,41,41,1,2,false
3,10,9,41,41,1,2,false
3,10,10,41,41,1,2,false
3,10,11,41,41,1,2,false
3,10,12,41,41,1,2,false
3,10,13,41,41,1,2,false
3,10,14,41,41,1,2,false
3,10,15,41,41,1,2,false
3,10,16,41,41,1,2,false
3,10,17,41,41,1,2,false
3,10,18,41,41,1,2,false
3,10,19,41,41,1,2,false
3,10,20,41,41,1,2,false
3,16,1,42,42,1,2,false
3,16,2,41,41,1,2,false
3,16,3,41,41,1,2,false
3,16,4,41,41,1,2,false
3,16,5,42,42,1,2,false
3,16,6,42,42,1,2,false
3,16,7,41,41,1,2,false
3,16,8,41,41,1,2,false
3,16,9,42,42,1,2,false
3,16,10,42,42,1,2,false
3,16,11,42,42,1,2,false
3,16,12,41,41,1,2,false
3,16,13,41,41,1,2,false
3,16,14,41,41,1,2,false
3,16,15,42,42,1,2,false
3,16,16,41,41,1,2,false
3,16,17,41,41,1,2,false
3,16,18,41,41,1,2,false
3,16,19,41,41,1,2,false
3,16,20,41,41,1,2,false
3,24,1,41,41,1,2,false
3,24,2,42,42,1,2,false
3,24,3,42,42,1,2,false
3,24,4,42,42,1,2,false
3,24,5,42,42,1,2,false
3,24,6,42,42,1,2,false
3,24,7,41,41,1,2,false
3,24,8,42,42,1,2,false
3,24,9,43,43,1,2,false
3,24,10,42,42,1,2,false
3,24,11,42,42,1,2,false
3,24,12,42,42,1,2,false
3,24,13,41,41,1,2,false
3,24,14,41,41,1,2,false
3,24,15,42,42,1,2,false
3,24,16,42,42,1,2,false
3,24,17,42,42,1,2,false
3,24,18,41,41,1,2,false
3,24,19,42,42,1,2,false
3,24,20,42,42,1,2,false
7,2,1,33,33,1,2,false
7,2,2,33,33,1,2,false
7,2,3,33,33,1,2,false
7,2,4,33,33,1,2,false
7,2,5,33,33,1,2,false
7,2,6,33,33,1,2,false
7,2,7,33,33,1,2,false
7,2,8,33,33,1,2,false
7,2,9,33,33,1,2,false
7,2,10,33,33,1,2,false
7,2,11,33,33,1,2,false
7,2,12,33,33,1,2,false
7,2,13,33,33,1,2,false
7,2,14,33,33,1,2,false
7,2,15,33,33,1,2,false
7,2,16,33,33,1,2,false
7,2,17,33,33,1,2,false
7,2,18,33,33,1,2,false
7,2,19,33,33,1,2,false
7,2,20,33,33,1,2,false
7,6,1,33,33,1,2,false
7,6,2,33,33,1,2,false
7,6,3,33,33,1,2,false
7,6,4,33,33,1,2,false
7,6,5,33,33,1,2,false
7,6,6,33,33,1,2,false
7,6,7,33,33,1,2,false
7,6,8,33,33,1,2,false
7,6,9,33,33,1,2,false
7,6,10,33,33,1,2,false
7,6,11,33,33,1,2,false
7,6,12,33,33,1,2,false
7,6,13,33,33,1,2,false
7,6,14,33,33,1,2,false
7,6,15,33,33,1,2,false
7,6,16,33,33,1,2,false
7,6,17,33,33,1,2,false
7,6,18,33,33,1,2,false
7,6,19,33,33,1,2,false
7,6,20,33,33,1,2,false
7,10,1,34,34,1,2,false
7,10,2,34,34,1,2,false
7,10,3,34,34,1,2,false
7,10,4,34,34,1,2,false
7,10,5,34,34,1,2,false
7,10,6,34,34,1,2,false
7,10,7,34,34,1,2,false
7,10,8,34,34,1,2,false
7,10,9,34,34,1,2,false
7,10,10,34,34,1,2,false
7,10,11,34,34,1,2,false
7,10,12,34,34,1,2,false
7,10,13,34,34,1,2,false
7,10,14,34,34,1,2,false
7,10,15,34,34,1,2,false
7,10,16,34,34,1,2,false
7,10,17,34,34,1,2,false
7,10,18,34,34,1,2,false
7,10,19,34,34,1,2,false
7,10,20,34,34,1,2,false
